player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
38218259,Ashutosh Malasi,9390582,TSGN Royal Lions,8,8,200,41,25.00,0,163.93,122,RHB,19,12,0,0
31706324,Waqas Qasim,7436670,Giessener 11,6,6,172,47,28.67,0,172.00,100,RHB,14,9,0,0
38454399,Lokendra,9461015,Ingelheim Cricket Club,3,3,159,88,159.00,2,196.30,81,RHB,11,13,2,0
5502848,Jitendra Singh,9390582,TSGN Royal Lions,8,8,132,57,26.40,3,180.82,73,RHB,7,12,1,0
12791022,Chandrashekar Umapathi,7356382,SPVGG Dragons,7,4,129,47,43.00,1,184.29,70,RHB,5,13,0,0
765882,Shibin,1517508,Frankfurt Spartans Cricket Club,7,7,127,34,18.14,0,125.74,101,RHB,12,4,0,0
14946054,Tud Rhythm Chauhan,2623314,TSV Darmstadt United,6,6,122,43,30.50,2,158.44,77,LHB,13,4,0,0
5894321,Atiq Awan,10472983,FCC Friends XI,4,4,114,66,38.00,1,167.65,68,RHB,14,2,1,0
31510171,Vaibhav Patil,7437045,Hawk Hunters,7,6,112,36,28.00,2,151.35,74,RHB,11,8,0,0
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,4,4,110,63,110.00,3,234.04,47,RHB,5,13,1,0
14886437,Anand Reddy Nallapapireddigari,2623314,TSV Darmstadt United,6,6,98,37,16.33,0,144.12,68,RHB,8,5,0,0
28363304,Vinay Nagappa Mana,10472983,FCC Friends XI,5,5,95,54,31.67,2,163.79,58,RHB,7,6,1,0
2467546,Yeshwanth Chandrashekar,7440693,TSV Darmstadt XI,3,3,94,35,47.00,1,200.00,47,RHB,10,5,0,0
3277609,Baskar Ayyappa,3793721,Trebur Cricket Club,6,5,94,42,31.33,2,144.62,65,RHB,6,5,0,0
5527584,Ogadepa,2623314,TSV Darmstadt United,6,6,91,36,18.20,1,239.47,38,RHB,5,10,0,0
13807276,Rupesh,7436670,Giessener 11,6,6,91,33,15.17,0,146.77,62,LHB,9,4,0,0
