player_id,name,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
12791022,Chandrashekar Umapathi,SPVGG Dragons,6,6,182,57,60.67,3,182,100,RHB,9,18,2,0
2607432,Ankur Tyagi,SPVGG Dragons,2,2,36,33,18,0,112.5,32,RHB,5,0,0,0
744616,Navin Dhamecha,SPVGG Dragons,4,4,95,51,31.62,1,161.02,59,RHB,13,4,1,0
31982831,Anoop Kiran,SPVGG Dragons,5,3,54,26,54,2,158.82,34,RHB,3,4,0,0
29061009,Susheel Amingad,SPVGG Dragons,6,2,12,11,6,0,50,24,RHB,1,0,0,0
29063790,Manoj Kumar,SPVGG Dragons,5,5,138,105,34.5,1,164.29,84,RHB,15,9,0,1
28640126,Adi,SPVGG Dragons,2,1,7,7,7,0,233.33,3,RHB,0,1,0,0
31976073,Srinivas Akkineni,SPVGG Dragons,1,1,2,2,2,0,28.57,7,RHB,0,0,0,0
4655513,Smeet Shah,SPVGG Dragons,5,2,15,15,7.5,0,107.14,14,LHB,0,2,0,0
31555761,Amruth Ramani,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
29046786,Kush Coshic,SPVGG Dragons,5,4,40,25,13.33,1,105.26,38,RHB,4,1,0,0
38367746,Santosh Upadhye,SPVGG Dragons,6,3,39,23,39,2,102.63,38,RHB,4,0,0,0
28007346,Allen Cutinha,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
31510704,Jayesh Germany,SPVGG Dragons,2,2,28,15,14,0,96.55,29,LHB,3,1,0,0
11066263,H Pavan Kumar,SPVGG Dragons,6,2,3,3,1.5,0,50,6,RHB,0,0,0,0
31510876,Keshav Rao,SPVGG Dragons,4,1,0,0,0,1,0,1,RHB,0,0,0,0
38351661,Sumit Agarwal,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
31717293,Sudhanshu Kumar,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
41959501,Sriram Karanam,SPVGG Dragons,0,0,0,0,0,0,0,0,LHB,0,0,0,0
2302435,Abhinav,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
22416987,Akash Patni,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
28007361,Yogesh Dhariyal,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
31435913,Shreyas Friedberg,SPVGG Dragons,1,0,0,0,0,0,0,0,RHB,0,0,0,0
1173568,Anshul,SPVGG Dragons,5,2,4,4,2,0,66.67,6,RHB,1,0,0,0
841517,Jaan,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
14454653,Riswan,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
7467346,Sanchit Mahajan,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
29718658,Shiva,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
38352714,Suyog Vaidya,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
38541684,Lavnish Sharma,SPVGG Dragons,0,0,0,0,0,0,0,0,RHB,0,0,0,0
1,Kiran Goankar,SPVGG Dragons,1,1,15,15,15,0,83.33,18,LHB,0,1,0,0
