player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
4253046,Gaggi Kalotha,2114868,SVS Frankfurt Eagles,8,8,320,87,45.71,1,225.35,142,RHB,19,36,3,0
457747,Viraj Shah,4220557,TSGN Royal Warriors,8,8,259,92,32.38,0,173.83,149,LHB,8,28,1,0
31710043,Ibrahim Zadran,7437045,Hawk Hunters,8,8,252,119,31.50,0,164.71,153,RHB,20,22,0,1
31708546,Zeesan Ahmed,7437938,FalconsXI,4,4,244,112,61.00,0,171.83,142,RHB,10,28,0,2
31709679,Gurjinder Singh,7437045,Hawk Hunters,5,5,240,102,80.00,2,206.90,116,LHB,11,28,1,1
2467546,Yeshwanth Chandrashekar,7440693,TSV Darmstadt XI,5,5,238,120,59.50,1,157.62,151,RHB,19,15,1,1
31510171,Vaibhav Patil,7437045,Hawk Hunters,7,7,226,75,75.33,4,203.60,111,RHB,15,20,2,0
2827167,Uday Kumar Bandaru,10570905,TBG Neulusheim,4,4,221,178,55.25,0,216.67,102,RHB,17,19,0,1
20710931,Mohd Akram,4220557,TSGN Royal Warriors,8,8,221,70,27.63,0,113.33,195,RHB,13,18,1,0
14886437,Anand Reddy Nallapapireddigari,2623314,TSV Darmstadt United,6,6,220,97,55.00,2,140.13,157,RHB,26,10,2,0
9760207,Mahabubul Islam,2948485,Frankfurt Strikers,8,8,212,59,42.40,3,158.21,134,RHB,16,14,1,0
31774077,Raju B,3793721,Trebur Cricket Club,4,4,196,89,65.33,1,161.98,121,RHB,12,17,2,0
27925432,Neelam Nagaraj,430802,Tgs Indian Challengers,6,6,184,73,36.80,1,129.58,142,RHB,15,13,1,0
3279200,Nitin Tyagi,2204871,MSC Black Bears,5,5,182,67,36.40,0,191.58,95,RHB,17,15,2,0
3279362,Sudeept Jaiswal,430802,Tgs Indian Challengers,6,6,179,94,44.75,2,190.43,94,RHB,12,15,1,0
38218259,Ashutosh Malasi,9390582,TSGN Royal Lions,5,5,176,79,35.20,0,119.73,147,RHB,12,14,1,0
38608339,Hameed Khan,2114868,SVS Frankfurt Eagles,8,8,174,100,24.86,1,175.76,99,LHB,15,15,0,1
15217646,Umashankar,4674227,BlueWings,5,5,165,68,33.00,0,144.74,114,RHB,22,8,1,0
38213498,Sahil Vashishtha,9390582,TSGN Royal Lions,6,6,161,61,32.20,1,165.98,97,RHB,10,15,1,0
1111468,Shreyas Suryanarayana,10574333,Frankfurt wolves,4,4,159,85,53.00,1,170.97,93,RHB,8,15,2,0
12822789,Anish Sachdeva,3793721,Trebur Cricket Club,5,5,156,103,39.00,1,243.75,64,RHB,6,20,0,1
18679127,Waled Khan,2114868,SVS Frankfurt Eagles,7,7,146,60,20.86,0,115.87,126,RHB,17,4,1,0
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,5,4,145,98,36.25,0,120.83,120,RHB,11,11,1,0
31708712,Vignesh Wk,4220352,TSGN Titans,6,6,145,59,29.00,1,162.92,89,RHB,18,7,2,0
41830215,Joel Sohal,7437045,Hawk Hunters,8,8,143,44,17.88,0,166.28,86,RHB,7,15,0,0
20711188,Hemant Patil,4220557,TSGN Royal Warriors,7,7,142,49,23.67,1,146.39,97,RHB,11,10,0,0
20727675,Mustafa Malik,6591085,TSGN Mavericks,2,2,136,69,68.00,0,183.78,74,RHB,9,14,2,0
5502847,Arpit Samani,9390582,TSGN Royal Lions,6,6,134,49,22.33,0,144.09,93,RHB,16,8,0,0
31709736,Saad Ahmad,7442593,AMU Sultans,4,4,131,67,32.75,0,137.89,95,RHB,10,8,1,0
2109393,Anirudh Rao,2204871,MSC Black Bears,5,5,128,54,32.00,1,124.27,103,LHB,6,11,1,0
38406659,Randeep Singh,7392287,DCC Rising Stars,4,4,127,60,31.75,0,107.63,118,RHB,14,4,1,0
33987148,Sharooz Ahmad,7437045,Hawk Hunters,8,8,127,44,18.14,1,156.79,81,RHB,11,9,0,0
1333318,Akash Muthanna,10574333,Frankfurt wolves,4,4,126,45,42.00,1,159.49,79,LHB,7,10,0,0
28329910,Irfan Muhammad,7449958,Darebulls,4,4,126,49,31.50,0,124.75,101,RHB,14,7,0,0
5677576,Sumanth Pulluru,2623314,TSV Darmstadt United,5,5,125,64,31.25,1,122.55,102,RHB,12,4,1,0
9691466,Rony Johirul Islam,2948485,Frankfurt Strikers,7,7,121,38,24.20,2,119.80,101,RHB,7,12,0,0
4851985,Roxy,7437938,FalconsXI,4,4,118,72,39.33,1,168.57,70,RHB,12,8,1,0
5640040,Chandu Pillalamarri,2623314,TSV Darmstadt United,6,4,118,48,118.00,3,187.30,63,RHB,11,9,0,0
40081788,Lokender Vijayakumar,4674227,BlueWings,5,5,117,51,29.25,1,111.43,105,RHB,14,4,2,0
5480703,Suriya Prakash,6269379,TGS Rising Challengers,4,4,114,40,28.50,0,170.15,67,RHB,11,8,0,0
3260937,Arpit Jain,9390582,TSGN Royal Lions,5,5,113,57,28.25,1,156.94,72,RHB,9,10,1,0
31982831,Anoop Kiran,7356382,SPVGG Dragons,5,4,111,50,37.00,1,150.00,74,RHB,9,9,1,0
28727397,Imtiaz Kh,2114868,SVS Frankfurt Eagles,5,4,111,50,27.75,0,168.18,66,RHB,6,12,1,0
9691514,Shamim Ahmed,2948485,Frankfurt Strikers,8,7,111,88,15.86,0,127.59,87,RHB,3,11,1,0
31121115,Jay Vala,7254701,Old Monks XI,4,4,110,46,36.67,1,139.24,79,RHB,13,5,0,0
