player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
20710931,Mohd Akram,4220557,TSGN Royal Warriors,5,5,298,100,99.33,2,175.29,170,RHB,21,23,2,1
38218259,Ashutosh Malasi,9390582,TSGN Royal Lions,3,3,163,64,54.33,0,179.12,91,RHB,15,11,2,0
31510171,Vaibhav Patil,7437045,Hawk Hunters,6,5,162,60,32.40,0,180.00,90,RHB,8,15,1,0
31920798,Ragunathan S,3793721,Trebur Cricket Club,4,4,155,82,38.75,0,218.31,71,LHB,13,15,2,0
3275003,Komal Theja Yedam,10472983,FCC Friends XI,4,4,140,84,70.00,2,132.08,106,RHB,16,6,1,0
14946054,Tud Rhythm Chauhan,2623314,TSV Darmstadt United,3,3,126,104,42.00,0,168.00,75,LHB,11,9,0,1
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,6,6,120,52,20.00,0,137.93,87,RHB,12,7,1,0
19059369,Noman Raja,7437045,Hawk Hunters,6,6,119,69,19.83,0,183.08,65,RHB,10,9,1,0
13816117,Rohith Kb,1517508,Frankfurt Spartans Cricket Club,6,4,118,41,59.00,2,181.54,65,RHB,8,8,0,0
13480256,Gokul Karthikeyan,1517508,Frankfurt Spartans Cricket Club,6,6,108,37,18.00,0,161.19,67,LHB,9,8,0,0
31709761,Rushikesh Ravindra Yadav,7440693,TSV Darmstadt XI,4,4,103,53,34.33,1,156.06,66,RHB,7,8,1,0
20710409,Jigar Rajeshkumar Modi,4220557,TSGN Royal Warriors,5,5,103,45,20.60,0,141.10,73,LHB,7,11,0,0
20727675,Mustafa Malik,6591085,TSGN Mavericks,3,3,97,58,48.50,1,277.14,35,RHB,5,11,1,0
27869378,Prasoon Verma,1517508,Frankfurt Spartans Cricket Club,6,6,96,41,19.20,1,184.62,52,RHB,4,9,0,0
31627777,Nipun K,7392287,DCC Rising Stars,3,3,94,38,94.00,2,116.05,81,RHB,8,6,0,0
12822789,Anish Sachdeva,3793721,Trebur Cricket Club,3,3,93,74,46.50,1,189.80,49,RHB,1,11,1,0
3283063,Humad Khan,6591085,TSGN Mavericks,3,3,92,79,30.67,0,213.95,43,RHB,10,6,1,0
41547112,Jagdish Dattarsingh Rathore,7440693,TSV Darmstadt XI,3,3,89,70,29.67,0,228.21,39,RHB,6,8,1,0
19192429,Manikanteswar Reddy Goluguri,7440693,TSV Darmstadt XI,5,5,86,26,17.20,0,148.28,58,RHB,7,6,0,0
765882,Shibin,1517508,Frankfurt Spartans Cricket Club,6,6,85,29,14.17,0,160.38,53,RHB,11,4,0,0
5527584,Adepa Naidu,2623314,TSV Darmstadt United,4,4,83,47,20.75,0,153.70,54,RHB,2,9,0,0
31697454,Chandan Singh,7437045,Hawk Hunters,6,5,83,39,20.75,1,143.10,58,RHB,11,3,0,0
3112619,Shannu,4220352,TSGN Titans,3,3,75,75,-,3,326.09,23,RHB,5,8,1,0
744616,Navin Dhamecha,7356382,SPVGG Dragons,2,2,73,42,73.00,1,165.91,44,RHB,4,6,0,0
27965010,Gopalam Moram,430802,Tgs Indian Challengers,3,3,72,48,36.00,1,160.00,45,RHB,3,8,0,0
5640040,Chandu Pillalamarri,2623314,TSV Darmstadt United,4,4,71,28,23.67,1,110.94,64,RHB,5,4,0,0
3281202,Miral Gajjar,1517508,Frankfurt Spartans Cricket Club,5,5,70,45,23.33,2,212.12,33,RHB,3,8,0,0
39646144,Vishal Jadav,6269379,TGS Rising Challengers,3,3,69,54,69.00,2,153.33,45,RHB,10,3,1,0
27923257,Girish Menon,6269379,TGS Rising Challengers,3,3,68,31,34.00,1,130.77,52,RHB,8,3,0,0
31773042,Prajwal Hegde,7440693,TSV Darmstadt XI,5,4,68,35,17.00,0,123.64,55,RHB,4,4,0,0
2109393,Anirudh Rao,10472983,FCC Friends XI,4,4,66,22,22.00,1,132.00,50,LHB,1,7,0,0
2467546,Yeshwanth Chandrashekar,7440693,TSV Darmstadt XI,3,3,64,55,32.00,1,136.17,47,RHB,3,4,1,0
28523657,Nikhil Narottam,6269379,TGS Rising Challengers,3,3,64,41,21.33,0,94.12,68,RHB,5,4,0,0
9734068,D V Mohan Krishna,3793721,Trebur Cricket Club,4,4,63,40,15.75,0,180.00,35,RHB,8,3,0,0
12423573,Rishi,4220557,TSGN Royal Warriors,5,5,63,35,12.60,0,90.00,70,RHB,3,4,0,0
3277609,Baskar Ayyappa,3793721,Trebur Cricket Club,4,4,61,59,15.25,0,138.64,44,RHB,7,3,1,0
31708712,Vignesh Wk,4220352,TSGN Titans,3,3,60,30,20.00,0,117.65,51,RHB,5,4,0,0
31982831,Anoop Kiran,7356382,SPVGG Dragons,3,2,57,38,57.00,1,142.50,40,RHB,3,6,0,0
28363304,Vinay Nagappa Mana,10472983,FCC Friends XI,4,4,57,26,19.00,1,178.13,32,RHB,5,4,0,0
457747,Viraj Shah,4220557,TSGN Royal Warriors,3,3,55,27,18.33,0,189.66,29,LHB,5,4,0,0
27926870,Senthil Kumaran,430802,Tgs Indian Challengers,3,3,55,34,18.33,0,110.00,50,RHB,5,4,0,0
32256086,Raheel Ahmad,7437045,Hawk Hunters,4,4,55,33,13.75,0,189.66,29,RHB,3,6,0,0
33987148,Shery Ahmed,7437045,Hawk Hunters,6,5,55,23,11.00,0,112.24,49,RHB,4,4,0,0
